商品名称,物品编号,物品名称,单耗,单位
[促销] 活动] 返校促销套餐 3,PA99020,单杯袋,1.0,pc
[促销] 活动] 返校促销套餐 3,PA99027,哑光塑料封口膜,1.0,pc
[促销] 活动] 返校促销套餐 3,DR02001,起酥油,20.0,g
[促销] 活动] 返校促销套餐 3,SE01001,腌泡粉,10.0,g
[促销] 活动] 返校促销套餐 3,PA99023,手套,1.0,pc
[促销] 活动] 返校促销套餐 3,FR05001,十块鸡,1.0,pc
[促销] 活动] 返校促销套餐 3,DR02002,炸鸡炸粉,10.0,g
[促销] 活动] 返校促销套餐 3,SA01008,甜辣酱（大包）,20.0,g
[促销] 活动] 返校促销套餐 3,SA01009,番茄酱（大包）,20.0,g
[促销] 活动] 返校促销套餐 3,PA99016,托盘纸,2.0,pc
[促销] 活动] 返校促销套餐 3,PA99006,中薯盒,1.0,pc
[促销] 活动] 返校促销套餐 3,FR02001,薯条细款7mm,150.0,g
[促销] 活动] 返校促销套餐 3,DR06002,盐,1.0,g
[促销] 活动] 返校促销套餐 3,PA99018,打包袋 (小号),1.0,pc
[促销] 活动] 返校促销套餐 3,SA01013,番茄酱（小包）,1.0,pc
[促销] 活动] 返校促销套餐 3,SA01010,辣椒酱（小包）,1.0,pc
[促销] 活动] 返校促销套餐 3,PA99005,外卖筒形薯盒,1.0,pc
[促销] 活动] 返校促销套餐 3,BE01004,百事可乐原味,25.0,g
[促销] 活动] 返校促销套餐 3,BE01003,百事立顿红茶,1.0,g
[促销] 活动] 返校促销套餐 3,BE01002,百事七喜,1.0,g
[促销] 活动] 返校促销套餐 3,BE02001,泰式奶茶粉,12.0,g
[促销] 活动] 返校促销套餐 3,PA99015,500PP杯（U型）,1.0,pc
[促销] 特辣番茄双人套餐3份特价！,FR05001,十块鸡,3.0,pc
[促销] 辣味番茄双人套餐 1 特价！,PA99001,16A 冷杯,1.0,pc
[促销] 辣味番茄双人套餐 1 特价！,BE01004,百事可乐原味,25.0,g
[促销] 辣味番茄双人套餐 1 特价！,PA99024,PLA尖头吸管,1.0,pc
[促销] 辣味番茄双人套餐 1 特价！,PA99027,哑光塑料封口膜,1.0,pc
[促销] 辣味番茄双人套餐 1 特价！,DR02001,J起酥油,30.0,g
[促销] 辣味番茄双人套餐 1 特价！,FR02001,薯条细款7mm,150.0,g
[促销] 辣味番茄双人套餐 1 特价！,PA99005,外卖筒形薯盒,1.0,pc
[促销] 辣味番茄双人套餐 1 特价！,PA99006,中薯盒,1.0,pc
[促销] 辣味番茄双人套餐 1 特价！,PA99018,打包袋 (小号),3.0,pc
[促销] 辣味番茄双人套餐 1 特价！,DR06002,盐,1.0,g
[促销] 辣味番茄双人套餐 1 特价！,SA01010,辣椒酱（小包）,1.0,pc
[促销] 辣味番茄双人套餐 1 特价！,SA01013,番茄酱（小包）,1.0,pc
[促销] 辣味番茄双人套餐 1 特价！,SE05004,辣番茄调味料,10.0,g
[促销] 辣味番茄双人套餐 1 特价！,PA99008,4#全鸡袋,2.0,pc
[促销] 辣味番茄双人套餐 1 特价！,SE05002,辣味粉,20.0,g
[促销] 辣味番茄双人套餐 1 特价！,FR01003,鸡腿,2.0,pc
[促销] 辣味番茄双人套餐 1 特价！,SA01003,甜辣酱（小包）,2.0,pc
[促销] 辣味番茄双人套餐 1 特价！,PA99020,单杯袋,2.0,pc
[促销] 辣味番茄双人套餐 1 特价！,PA99023,手套,2.0,pc
[促销] 辣味番茄双人套餐 1 特价！,SA01004,番茄酱 （小包）,2.0,pc
[促销] 辣味番茄双人套餐 1 特价！,DR02002,炸鸡炸粉,20.0,g
[促销] 辣味番茄双人套餐 1 特价！,PA99013,小纸袋,2.0,pc
[促销] 返校促销套餐组合4,PA99020,单杯袋,1.0,pc
[促销] 返校促销套餐组合4,PA99001,16A 冷杯,1.0,pc
[促销] 返校促销套餐组合4,BE01004,百事可乐原味,25.0,g
[促销] 返校促销套餐组合4,PA99024,PLA尖头吸管,1.0,pc
[促销] 返校促销套餐组合4,PA99027,哑光塑料封口膜,1.0,pc
[促销] 返校促销套餐组合4,PA99006,中薯盒,1.0,pc
[促销] 返校促销套餐组合4,FR02001,薯条细款7mm,150.0,g
[促销] 返校促销套餐组合4,DR02001,起酥油,20.0,g
[促销] 返校促销套餐组合4,SA01008,甜辣酱（大包）,10.0,g
[促销] 返校促销套餐组合4,SA01009,番茄酱（大包）,10.0,g
[促销] 返校促销套餐组合4,DR06002,盐,1.0,g
[促销] 返校促销套餐组合4,PA99018,打包袋 (小号),1.0,pc
[促销] 返校促销套餐组合4,SA01013,番茄酱（小包）,1.0,pc
[促销] 返校促销套餐组合4,SA01010,辣椒酱（小包）,1.0,pc
[促销] 返校促销套餐组合4,PA99005,外卖筒形薯盒,1.0,pc
[促销] 返校促销套餐组合4,PA99016,托盘纸,1.0,pc
[促销] 返校促销套餐组合4,DR02002,炸鸡炸粉,30.0,g
[促销] 返校促销套餐组合4,FR01001,无骨方腿腿肉汉堡用,1.0,pc
[促销] 返校促销套餐组合4,GE99003,餐巾纸,1.0,pc
[促销] 返校促销套餐组合4,PA99017,五合一汉堡纸,1.0,pc
[促销] 返校促销套餐组合4,SA02001,沙拉酱,15.0,g
[促销] 返校促销套餐组合4,SE01001,腌泡粉,3.0,g
[促销] 返校促销套餐组合4,DR06001,"汉堡面包尺寸 4""",1.0,pc
[促销] 返校促销套餐组合4,VE00004,生菜,15.0,g
[促销] 返校促销套餐组合4,SE05001,BBQ酱,10.0,g
[促销] 返校促销套餐组合4,SE05002,辣味粉,3.0,g
[促销] 返校促销套餐组合4,BE02005,荔枝味粉,14.0,g
[促销] 返校促销套餐组合4,BE01001,百事零度,1.0,g
[促销] 返校促销套餐组合4,BE01003,百事立顿红茶,1.0,g
[促销] 返校促销套餐组合4,BE01002,百事七喜,1.0,g
[促销] 返校促销组合套装2,PA99020,单杯袋,1.0,pc
[促销] 返校促销组合套装2,PA99001,16A 冷杯,1.0,pc
[促销] 返校促销组合套装2,BE01004,百事可乐原味,25.0,g
[促销] 返校促销组合套装2,PA99024,PLA尖头吸管,1.0,pc
[促销] 返校促销组合套装2,PA99027,哑光塑料封口膜,1.0,pc
[促销] 返校促销组合套装2,PA99006,中薯盒,1.0,pc
[促销] 返校促销组合套装2,FR02001,薯条细款7mm,150.0,g
[促销] 返校促销组合套装2,DR02001,起酥油,20.0,g
[促销] 返校促销组合套装2,SA01008,甜辣酱（大包）,10.0,g
[促销] 返校促销组合套装2,SA01009,番茄酱（大包）,10.0,g
[促销] 返校促销组合套装2,DR06002,盐,1.0,g
[促销] 返校促销组合套装2,PA99018,打包袋 (小号),2.0,pc
[促销] 返校促销组合套装2,SA01013,番茄酱（小包）,1.0,pc
[促销] 返校促销组合套装2,SA01010,辣椒酱（小包）,1.0,pc
[促销] 返校促销组合套装2,PA99005,外卖筒形薯盒,1.0,pc
[促销] 返校促销组合套装2,PA99016,托盘纸,1.0,pc
[促销] 返校促销组合套装2,PA99008,4#全鸡袋,1.0,pc
[促销] 返校促销组合套装2,PA99025,一次性餐包,1.0,pc
[促销] 返校促销组合套装2,CK01002,鸡块,5.0,pc
[促销] 返校促销组合套装2,PA99014,大薯袋,1.0,pc
[促销] 返校促销组合套装2,SA01003,甜辣酱（小包）,1.0,pc
[促销] 返校促销组合套装2,PA99012,小号方底袋,1.0,pc
[促销] 返校促销组合套装2,SA01004,番茄酱 （小包）,1.0,pc
[促销] 返校促销组合套装2,PA99023,手套,1.0,pc
[促销] 返校促销组合套装2,BE01001,百事零度,1.0,g
[促销] 返校促销组合套装2,BE02001,泰式奶茶粉,12.0,g
[促销] 返校促销组合套装2,PA99015,500PP杯（U型）,1.0,pc
[促销] 返校促销组合套装2,BE01002,百事七喜,1.0,g
[促销] 返校促销组合套装2,BE01003,百事立顿红茶,1.0,g
[促销] 返校促销组合套餐1,BE01001,百事零度,1.0,g
[促销] 返校促销组合套餐1,PA99001,16A 冷杯,1.0,pc
[促销] 返校促销组合套餐1,PA99024,PLA尖头吸管,1.0,pc
[促销] 返校促销组合套餐1,PA99020,单杯袋,1.0,pc
[促销] 返校促销组合套餐1,PA99027,哑光塑料封口膜,1.0,pc
[促销] 返校促销组合套餐1,FR03001,8寸面饼,1.0,pc
[促销] 返校促销组合套餐1,PA99017,五合一汉堡纸,1.0,pc
[促销] 返校促销组合套餐1,PA99018,打包袋 (小号),2.0,pc
[促销] 返校促销组合套餐1,PA99034,食安封签,1.0,pc
[促销] 返校促销组合套餐1,SA02001,沙拉酱,15.0,g
[促销] 返校促销组合套餐1,SA01009,番茄酱（大包）,25.0,g
[促销] 返校促销组合套餐1,VE00004,生菜,20.0,g
[促销] 返校促销组合套餐1,PA99006,中薯盒,1.0,pc
[促销] 返校促销组合套餐1,FR02001,薯条细款7mm,150.0,g
[促销] 返校促销组合套餐1,DR02001,起酥油,10.0,g
[促销] 返校促销组合套餐1,SA01008,甜辣酱（大包）,10.0,g
[促销] 返校促销组合套餐1,DR06002,盐,1.0,g
[促销] 返校促销组合套餐1,SA01013,番茄酱（小包）,1.0,pc
[促销] 返校促销组合套餐1,SA01010,辣椒酱（小包）,1.0,pc
[促销] 返校促销组合套餐1,PA99005,外卖筒形薯盒,1.0,pc
[促销] 返校促销组合套餐1,PA99016,托盘纸,1.0,pc
[促销] 返校促销组合套餐1,BE01004,百事可乐原味,25.0,g
[促销] 返校促销组合套餐1,BE02002,橙C粉,12.0,g
[促销] 返校促销组合套餐1,BE01003,百事立顿红茶,1.0,g
[促销] 返校促销组合套餐1,BE01002,百事七喜,1.0,g
[热卖] 买一份薯条，再加20泰铢得另一份,PA99006,中薯盒,2.0,pc
[热卖] 买一份薯条，再加20泰铢得另一份,FR02001,薯条细款7mm,300.0,g
[热卖] 买一份薯条，再加20泰铢得另一份,DR02001,起酥油,20.0,g
[热卖] 买一份薯条，再加20泰铢得另一份,SA01008,甜辣酱（大包）,20.0,g
[热卖] 买一份薯条，再加20泰铢得另一份,SA01009,番茄酱（大包）,20.0,g
[热卖] 买一份薯条，再加20泰铢得另一份,DR06002,盐,2.0,g
[热卖] 买一份薯条，再加20泰铢得另一份,PA99018,打包袋 (小号),2.0,pc
[热卖] 买一份薯条，再加20泰铢得另一份,SA01013,番茄酱（小包）,2.0,pc
[热卖] 买一份薯条，再加20泰铢得另一份,SA01010,辣椒酱（小包）,2.0,pc
[热卖] 买一份薯条，再加20泰铢得另一份,PA99005,外卖筒形薯盒,2.0,pc
[热卖] 买一份薯条，再加20泰铢得另一份,PA99016,托盘纸,2.0,pc
[热卖] 购买一份鸡肉卷，第二份仅需30泰铢,FR03001,8寸面饼,2.0,pc
[热卖] 购买一份鸡肉卷，第二份仅需30泰铢,PA99017,五合一汉堡纸,2.0,pc
[热卖] 购买一份鸡肉卷，第二份仅需30泰铢,PA99018,打包袋 (小号),2.0,pc
[热卖] 购买一份鸡肉卷，第二份仅需30泰铢,PA99034,食安封签,2.0,pc
[热卖] 购买一份鸡肉卷，第二份仅需30泰铢,SA02001,沙拉酱,30.0,g
[热卖] 购买一份鸡肉卷，第二份仅需30泰铢,SA01009,番茄酱（大包）,30.0,g
[热卖] 购买一份鸡肉卷，第二份仅需30泰铢,VE00004,生菜,40.0,g
【买一送一】薯条,PA99006,中薯盒,2.0,pc
【买一送一】薯条,FR02001,薯条细款7mm,300.0,g
【买一送一】薯条,DR02001,起酥油,10.0,g
【买一送一】薯条,SA01008,辣椒酱（大包）,10.0,g
【买一送一】薯条,SA01009,番茄酱（大包）,10.0,g
【买一送一】薯条,DR06002,盐,2.0,g
【买一送一】香辣鸡腿堡,SA02001,沙拉酱,30.0,g
【买一送一】香辣鸡腿堡,SE05002,辣味粉,10.0,g
【买一送一】香辣鸡腿堡,PA99017,五合一汉堡纸,2.0,pc
【买一送一】香辣鸡腿堡,DR02001,起酥油,10.0,g
【买一送一】香辣鸡腿堡,PA99023,手套,1.0,pc
【买一送一】香辣鸡腿堡,DR01001,汉堡面包,2.0,pc
【买一送一】香辣鸡腿堡,FR01001,无骨方腿腿肉汉堡用,2.0,pc
【买一送一】香辣鸡腿堡,DR02002,炸鸡炸粉,10.0,g
【买一送一】香辣鸡腿堡,SA01008,辣椒酱（大包）,10.0,g
【买一送一】香辣鸡腿堡,SA01009,番茄酱（大包）,10.0,g
【买一送一】香辣鸡腿堡,MK01019,生菜,30.0,g
【买一送一】香辣鸡腿堡,PA99016,托盘纸,2.0,pc
【仅限部分门店】辣味鸡肉堡买二送一,SA02001,沙拉酱,45.0,g
【仅限部分门店】辣味鸡肉堡买二送一,SE05002,辣味粉,30.0,g
【仅限部分门店】辣味鸡肉堡买二送一,PA99017,五合一汉堡纸,3.0,pc
【仅限部分门店】辣味鸡肉堡买二送一,DR02001,起酥油,30.0,g
【仅限部分门店】辣味鸡肉堡买二送一,PA99023,手套,3.0,pc
【仅限部分门店】辣味鸡肉堡买二送一,FR01001,无骨方腿腿肉汉堡用,3.0,pc
【仅限部分门店】辣味鸡肉堡买二送一,DR02002,炸鸡炸粉,30.0,g
【仅限部分门店】辣味鸡肉堡买二送一,SA01008,甜辣酱（大包）,30.0,g
【仅限部分门店】辣味鸡肉堡买二送一,DR01001,汉堡面包,3.0,pc
【仅限部分门店】辣味鸡肉堡买二送一,SA01009,番茄酱（大包）,30.0,g
【仅限部分门店】辣味鸡肉堡买二送一,MK01019,生菜,45.0,g
【仅限部分门店】辣味鸡肉堡买二送一,PA99016,托盘纸,3.0,pc
【促销】辣味番茄人套餐特惠！,FR05001,十块鸡,3.0,pc
【热卖】购买一份脆皮鸡肉汉堡，第二份仅需40泰铢,DR02001,J起酥油,20.0,g
【热卖】购买一份脆皮鸡肉汉堡，第二份仅需40泰铢,DR02002,炸鸡炸粉,60.0,g
【热卖】购买一份脆皮鸡肉汉堡，第二份仅需40泰铢,FR01001,无骨方腿腿肉汉堡用,2.0,pc
【热卖】购买一份脆皮鸡肉汉堡，第二份仅需40泰铢,GE99003,餐巾纸,2.0,pc
【热卖】购买一份脆皮鸡肉汉堡，第二份仅需40泰铢,PA99017,五合一汉堡纸,2.0,pc
【热卖】购买一份脆皮鸡肉汉堡，第二份仅需40泰铢,SA02001,沙拉酱,30.0,g
【热卖】购买一份脆皮鸡肉汉堡，第二份仅需40泰铢,SE01001,腌泡粉,6.0,g
【热卖】购买一份脆皮鸡肉汉堡，第二份仅需40泰铢,DR06001,"汉堡面包尺寸 4""",2.0,pc
【热卖】购买一份脆皮鸡肉汉堡，第二份仅需40泰铢,VE00004,生菜,30.0,g
丰盛套餐5 - 经典炸鸡,PA99008,4#全鸡袋,1.0,pc
丰盛套餐5 - 经典炸鸡,PA99025,一次性餐包,1.0,pc
丰盛套餐5 - 经典炸鸡,SE05002,辣味粉,10.0,g
丰盛套餐5 - 经典炸鸡,FR05001,十块鸡,2.0,pc
丰盛套餐5 - 经典炸鸡,DR02001,起酥油,10.0,g
丰盛套餐5 - 经典炸鸡,PA99023,手套,1.0,pc
丰盛套餐5 - 经典炸鸡,FR01004,翅根,3.0,pc
丰盛套餐5 - 经典炸鸡,PA99018,打包袋 (小号),1.0,pc
丰盛套餐5 - 经典炸鸡,DR02002,炸鸡炸粉,10.0,g
丰盛套餐5 - 经典炸鸡,PA99020,单杯袋,1.0,pc
丰盛套餐5 - 经典炸鸡,PA99001,16A 冷杯,1.0,pc
丰盛套餐5 - 经典炸鸡,PA99024,PLA尖头吸管,1.0,pc
丰盛套餐5 - 经典炸鸡,PA99027,哑光塑料封口膜,1.0,pc
丰盛套餐5 - 经典炸鸡,BE01004,百事可乐原味,25.0,g
仅限第16分店] 辣鸡肉汉堡,SA02001,沙拉酱,45.0,g
仅限第16分店] 辣鸡肉汉堡,SE05002,辣味粉,30.0,g
仅限第16分店] 辣鸡肉汉堡,PA99017,五合一汉堡纸,3.0,pc
仅限第16分店] 辣鸡肉汉堡,DR02001,起酥油,30.0,g
仅限第16分店] 辣鸡肉汉堡,PA99023,手套,3.0,pc
仅限第16分店] 辣鸡肉汉堡,FR01001,无骨方腿腿肉汉堡用,3.0,pc
仅限第16分店] 辣鸡肉汉堡,DR02002,炸鸡炸粉,30.0,g
仅限第16分店] 辣鸡肉汉堡,SA01008,甜辣酱（大包）,30.0,g
仅限第16分店] 辣鸡肉汉堡,DR01001,汉堡面包,3.0,pc
仅限第16分店] 辣鸡肉汉堡,SA01009,番茄酱（大包）,30.0,g
仅限第16分店] 辣鸡肉汉堡,MK01019,生菜,45.0,g
仅限第16分店] 辣鸡肉汉堡,PA99016,托盘纸,3.0,pc
值得套装2（旧价格）,PA99020,单杯袋,2.0,pc
值得套装2（旧价格）,PA99001,16A 冷杯,1.0,pc
值得套装2（旧价格）,BE01004,百事可乐原味,25.0,g
值得套装2（旧价格）,PA99024,PLA尖头吸管,1.0,pc
值得套装2（旧价格）,PA99027,哑光塑料封口膜,1.0,pc
值得套装2（旧价格）,PA99008,4#全鸡袋,2.0,pc
值得套装2（旧价格）,PA99025,一次性餐包,1.0,pc
值得套装2（旧价格）,SE05002,辣味粉,20.0,g
值得套装2（旧价格）,DR02001,起酥油,20.0,g
值得套装2（旧价格）,FR01004,翅根,2.0,pc
值得套装2（旧价格）,PA99018,打包袋 (小号),2.0,pc
值得套装2（旧价格）,DR02002,炸鸡炸粉,20.0,g
值得套装2（旧价格）,FR01003,鸡腿,1.0,pc
值得套装2（旧价格）,SA01003,甜辣酱（小包）,1.0,pc
值得套装2（旧价格）,PA99023,手套,1.0,pc
值得套装2（旧价格）,SA01004,番茄酱 （小包）,1.0,pc
值得套装2（旧价格）,PA99013,小纸袋,1.0,pc
值得套装3（原价）,PA99020,单杯袋,1.0,pc
值得套装3（原价）,PA99001,16A 冷杯,1.0,pc
值得套装3（原价）,BE01004,百事可乐原味,25.0,g
值得套装3（原价）,PA99024,PLA尖头吸管,1.0,pc
值得套装3（原价）,PA99027,哑光塑料封口膜,1.0,pc
值得套装3（原价）,PA99006,中薯盒,1.0,pc
值得套装3（原价）,FR02001,薯条细款7mm,150.0,g
值得套装3（原价）,DR02001,起酥油,20.0,g
值得套装3（原价）,SA01008,甜辣酱（大包）,10.0,g
值得套装3（原价）,SA01009,番茄酱（大包）,10.0,g
值得套装3（原价）,DR06002,盐,1.0,g
值得套装3（原价）,PA99018,打包袋 (小号),2.0,pc
值得套装3（原价）,SA01013,番茄酱（小包）,1.0,pc
值得套装3（原价）,SA01010,辣椒酱（小包）,1.0,pc
值得套装3（原价）,PA99005,外卖筒形薯盒,1.0,pc
值得套装3（原价）,PA99016,托盘纸,1.0,pc
值得套装3（原价）,PA99008,4#全鸡袋,1.0,pc
值得套装3（原价）,PA99025,一次性餐包,1.0,pc
值得套装3（原价）,SE05002,辣味粉,10.0,g
值得套装3（原价）,FR01004,翅根,2.0,pc
值得套装3（原价）,DR02002,炸鸡炸粉,10.0,g
值得套装6（旧价）,PA99019,打包袋 (大号),1.0,pc
值得套装6（旧价）,SA02001,沙拉酱,15.0,g
值得套装6（旧价）,PA99025,一次性餐包,2.0,pc
值得套装6（旧价）,PA99034,食安封签,1.0,pc
值得套装6（旧价）,SE05002,辣味粉,30.0,g
值得套装6（旧价）,PA99017,五合一汉堡纸,1.0,pc
值得套装6（旧价）,DR02001,起酥油,30.0,g
值得套装6（旧价）,FR01001,无骨方腿腿肉汉堡用,1.0,pc
值得套装6（旧价）,SA01013,番茄酱（小包）,1.0,pc
值得套装6（旧价）,DR02002,炸鸡炸粉,30.0,g
值得套装6（旧价）,DR01001,汉堡面包,1.0,pc
值得套装6（旧价）,MK01019,生菜,15.0,g
值得套装6（旧价）,PA99008,4#全鸡袋,3.0,pc
值得套装6（旧价）,PA99018,打包袋 (小号),3.0,pc
值得套装6（旧价）,FR01004,翅根,2.0,pc
值得套装6（旧价）,FR01003,鸡腿,1.0,pc
值得套装6（旧价）,SA01003,甜辣酱（小包）,1.0,pc
值得套装6（旧价）,PA99020,单杯袋,1.0,pc
值得套装6（旧价）,PA99023,手套,1.0,pc
值得套装6（旧价）,SA01004,番茄酱 （小包）,1.0,pc
值得套装6（旧价）,PA99013,小纸袋,1.0,pc
值得拥有的套装1,PA99020,单杯袋,1.0,pc
值得拥有的套装1,PA99001,16A 冷杯,1.0,pc
值得拥有的套装1,BE01004,百事可乐原味,25.0,g
值得拥有的套装1,PA99024,PLA尖头吸管,1.0,pc
值得拥有的套装1,PA99027,哑光塑料封口膜,1.0,pc
值得拥有的套装1,PA99008,4#全鸡袋,1.0,pc
值得拥有的套装1,PA99025,一次性餐包,1.0,pc
值得拥有的套装1,SE05002,辣味粉,10.0,g
值得拥有的套装1,DR02001,起酥油,20.0,g
值得拥有的套装1,FR01004,翅根,2.0,pc
值得拥有的套装1,PA99018,打包袋 (小号),2.0,pc
值得拥有的套装1,DR02002,炸鸡炸粉,10.0,g
值得拥有的套装1,CK02004,肉丁（原味米花）,12.0,pc
值得拥有的套装1,PA99003,鸡米花盒,1.0,pc
值得拥有的套装1,SA01008,甜辣酱（大包）,10.0,g
值得拥有的套装1,PA99016,托盘纸,1.0,pc
值得拥有的套装1,SA01009,番茄酱（大包）,10.0,g
值得拥有的套装1,SA01013,番茄酱（小包）,1.0,pc
值得拥有的套装1,PA99023,手套,1.0,pc
值得拥有的套装5（原价）,PA99020,单杯袋,1.0,pc
