商品名称,物品编号,物品名称,单耗,单位
烤鸡桶,PA99023,手套,1.0,pc
烤鸡桶,FR01004,翅根,8.0,pc
烤鸡桶,PA99007,铝箔全鸡袋,1.0,pc
烤鸡桶,SE05001,BBQ酱,15.0,g
烤鸡桶,PA99016,托盘纸,1.0,pc
百事,PA99001,16A 冷杯,1.0,pc
百事,BE01004,百事可乐原味,25.0,g
百事,PA99024,PLA尖头吸管,1.0,pc
百事,PA99027,哑光塑料封口膜,1.0,pc
巧克力圣代,PA01003,冰淇凌杯,1.0,pc
巧克力圣代,PA01004,冰淇凌杯盖,1.0,pc
巧克力圣代,DE03001,冰淇淋预伴粉巧克力,10.0,g
巧克力圣代,MK01002,巧克力酱（圣代用）,30.0,g
巧克力圣代,PA99026,木勺,1.0,pc
蜜汁手扒鸡,PA99017,五合一汉堡纸,1.0,pc
蜜汁手扒鸡,DR02001,起酥油,10.0,g
蜜汁手扒鸡,SE01001,腌泡粉,10.0,g
蜜汁手扒鸡,PA99023,手套,1.0,pc
蜜汁手扒鸡,PA99007,铝箔全鸡袋,1.0,pc
蜜汁手扒鸡,SA01008,甜辣酱（大包）,10.0,g
蜜汁手扒鸡,SA01009,番茄酱（大包）,10.0,g
蜜汁手扒鸡,CK01001,整鸡,1.0,pc
蜜汁手扒鸡,SE05001,BBQ酱,15.0,g
蜜汁手扒鸡,PA99016,托盘纸,1.0,pc
蜜汁手扒鸡,PA99021,腌制袋,1.0,pc
柠檬茶,BE01003,百事立顿红茶,25.0,g
柠檬茶,PA99001,16A 冷杯,1.0,pc
柠檬茶,PA99024,PLA尖头吸管,1.0,pc
柠檬茶,PA99020,单杯袋,1.0,pc
柠檬茶,PA99027,哑光塑料封口膜,1.0,pc
双拼冰淇凌,DE03001,冰淇淋预伴粉巧克力,10.0,g
双拼冰淇凌,DE01001,蛋筒冰淇淋,1.0,pc
双拼冰淇凌,DE03002,冰淇淋预伴粉香草,10.0,g
双拼冰淇凌,SP01001,冰淇淋紙套,1.0,pc
巧克力冰淇凌,DE03001,冰淇淋预伴粉巧克力,10.0,g
巧克力冰淇凌,DE01001,蛋筒冰淇淋,1.0,pc
巧克力冰淇凌,SP01001,冰淇淋紙套,1.0,pc
炸鸡翅,FR01005,翅中,1.0,pc
炸鸡翅,SE05002,辣味粉,10.0,g
炸鸡翅,DR02001,起酥油,10.0,g
炸鸡翅,PA99023,手套,1.0,pc
炸鸡翅,DR02002,炸鸡炸粉,10.0,g
炸鸡翅,SA01008,甜辣酱（大包）,10.0,g
炸鸡翅,SA01009,番茄酱（大包）,10.0,g
炸鸡翅,PA99016,托盘纸,1.0,pc
炸鸡翅,PA99013,小纸袋,1.0,pc
炸鸡翅,FR01004,翅根,1.0,pc
上校鸡块,CK01002,鸡块,5.0,pc
上校鸡块,PA99014,大薯袋,1.0,pc
上校鸡块,DR02001,起酥油,10.0,g
上校鸡块,SA01008,甜辣酱（大包）,10.0,g
上校鸡块,PA99016,托盘纸,1.0,pc
上校鸡块,SA01009,番茄酱（大包）,10.0,g
上校鸡块,PA99023,手套,1.0,pc
青芒果汁,PA99015,500PP杯（U型）,1.0,pc
青芒果汁,PA99024,PLA尖头吸管,1.0,pc
青芒果汁,BE02003,酸芒果味粉,12.0,g
青芒果汁,PA99027,哑光塑料封口膜,1.0,pc
矿泉水,BE01006,纯净水,1.0,pc
美式,PA03002,500ml咖啡杯盖_,1.0,pc
美式,MK01001,糖浆,30.0,g
美式,BE05001,咖啡豆（小）,12.0,g
美式,PA03001,500ml咖啡杯_,1.0,pc
美式,PA99024,PLA尖头吸管,1.0,pc
香草冰淇凌,DE01001,蛋筒冰淇淋,1.0,pc
香草冰淇凌,DE03002,冰淇淋预伴粉香草,10.0,g
香草冰淇凌,SP01001,冰淇淋紙套,1.0,pc
七喜,PA99001,16A 冷杯,1.0,pc
七喜,PA99024,PLA尖头吸管,1.0,pc
七喜,BE01002,百事七喜,25.0,g
七喜,PA99020,单杯袋,1.0,pc
七喜,PA99027,哑光塑料封口膜,1.0,pc
鸡肉棒,DR02001,起酥油,10.0,g
鸡肉棒,SA01008,甜辣酱（大包）,10.0,g
鸡肉棒,CK02003,鸡棒,5.0,pc
鸡肉棒,PA99013,小纸袋,1.0,pc
鸡肉棒,PA99016,托盘纸,1.0,pc
鸡肉棒,SA01009,番茄酱（大包）,10.0,g
鸡肉棒,PA99018,打包袋 (小号),1.0,pc
鸡肉棒,SA01013,番茄酱（小包）,1.0,pc
鸡肉棒,SA01010,辣椒酱（小包）,1.0,pc
鸡肉棒,PA99023,手套,1.0,pc
草莓圣代,PA01003,冰淇凌杯,1.0,pc
草莓圣代,DE03002,冰淇淋预伴粉香草,10.0,g
草莓圣代,PA01004,冰淇凌杯盖,1.0,pc
草莓圣代,DE02001,草莓果酱,30.0,g
草莓圣代,PA99026,木勺,1.0,pc
烤手枪腿饭,MK01020,黄瓜片,20.0,g
烤手枪腿饭,PA01006,酱料盒（堂食）,1.0,pc
烤手枪腿饭,SE05002,辣味粉,10.0,g
烤手枪腿饭,PA99006,中薯盒,1.0,pc
烤手枪腿饭,PA02001,塑料叉勺 100pcs*20pack,1.0,pc
烤手枪腿饭,FR02001,薯条细款7mm,150.0,g
烤手枪腿饭,DR02001,起酥油,10.0,g
烤手枪腿饭,PA99001,16A 冷杯,1.0,pc
烤手枪腿饭,BE01004,百事可乐原味,25.0,g
烤手枪腿饭,SA01008,甜辣酱（大包）,10.0,g
烤手枪腿饭,DR01002,香米,150.0,g
烤手枪腿饭,MK01016,香辣蘸料,40.0,g
烤手枪腿饭,PA01002,塑料碗盒（方盒）,1.0,pc
烤手枪腿饭,PA99024,PLA尖头吸管,1.0,pc
烤手枪腿饭,PA99027,哑光塑料封口膜,1.0,pc
烤手枪腿饭,SE05001,BBQ酱,15.0,g
烤手枪腿饭,FR01002,手枪腿,1.0,pc
烤手枪腿饭,PA99016,托盘纸,1.0,pc
烤手枪腿饭,SA01009,番茄酱（大包）,10.0,g
烤手枪腿饭,PA99019,打包袋 (大号),1.0,pc
烤手枪腿饭,DR02002,炸鸡炸粉,10.0,g
烤手枪腿饭,PA99005,外卖筒形薯盒,1.0,pc
烤手枪腿饭,PA99023,手套,1.0,pc
炸鸡腿饭,MK01020,黄瓜片,20.0,g
炸鸡腿饭,PA01006,酱料盒（堂食）,1.0,pc
炸鸡腿饭,SE05002,辣味粉,10.0,g
炸鸡腿饭,FR01003,鸡腿,1.0,pc
炸鸡腿饭,PA99006,中薯盒,1.0,pc
炸鸡腿饭,PA02001,塑料叉勺 100pcs*20pack,1.0,pc
炸鸡腿饭,FR02001,薯条细款7mm,150.0,g
炸鸡腿饭,DR02001,起酥油,10.0,g
炸鸡腿饭,PA99001,16A 冷杯,1.0,pc
炸鸡腿饭,BE01004,百事可乐原味,25.0,g
炸鸡腿饭,SA01008,甜辣酱（大包）,10.0,g
炸鸡腿饭,DR01002,香米,150.0,g
炸鸡腿饭,MK01016,香辣蘸料,40.0,g
炸鸡腿饭,DR02002,炸鸡炸粉,10.0,g
炸鸡腿饭,PA01002,塑料碗盒（方盒）,1.0,pc
炸鸡腿饭,PA99024,PLA尖头吸管,1.0,pc
炸鸡腿饭,PA99027,哑光塑料封口膜,1.0,pc
炸鸡腿饭,PA99016,托盘纸,1.0,pc
炸鸡腿饭,SA01009,番茄酱（大包）,10.0,g
炸鸡腿饭,PA99023,手套,1.0,pc
柠檬水,BE02002,橙C粉,12.0,g
柠檬水,PA99015,500PP杯（U型）,1.0,pc
柠檬水,PA99024,PLA尖头吸管,1.0,pc
柠檬水,PA99027,哑光塑料封口膜,1.0,pc
脆皮全鸡,PA99017,五合一汉堡纸,1.0,pc
脆皮全鸡,DR02001,起酥油,10.0,g
脆皮全鸡,SE01001,腌泡粉,10.0,g
脆皮全鸡,PA99023,手套,1.0,pc
脆皮全鸡,DR02002,炸鸡炸粉,10.0,g
脆皮全鸡,SA01008,甜辣酱（大包）,10.0,g
脆皮全鸡,SA01009,番茄酱（大包）,10.0,g
脆皮全鸡,CK01001,整鸡,1.0,pc
脆皮全鸡,PA99016,托盘纸,1.0,pc
玉米杯,PA99026,木勺,1.0,pc
玉米杯,PA01007,玉米杯,1.0,pc
玉米杯,MK01003,玉米粒,120.0,g
玉米杯,PA99016,托盘纸,1.0,pc
玉米杯,PA01008,玉米杯盖,1.0,pc
泰奶,BE02001,泰式奶茶粉,12.0,g
泰奶,PA99015,500PP杯（U型）,1.0,pc
泰奶,PA99024,PLA尖头吸管,1.0,pc
泰奶,PA99027,哑光塑料封口膜,1.0,pc
鸡肉卷,SA02001,沙拉酱,15.0,g
鸡肉卷,PA99017,五合一汉堡纸,1.0,pc
鸡肉卷,FR03001,8寸面饼,1.0,pc
鸡肉卷,SA01009,番茄酱（大包）,10.0,g
鸡肉卷,MK01019,生菜,15.0,g
鸡肉卷,PA99016,托盘纸,1.0,pc
鸡肉卷,PA99023,手套,1.0,pc
鸡肉卷,FR01001,无骨方腿腿肉汉堡用,1.0,pc
鸡肉卷,DR02002,炸鸡炸粉,10.0,g
鸡肉卷,SA01008,甜辣酱（大包）,10.0,g
鸡肉卷,DR02001,起酥油,10.0,g
香辣鸡腿堡,SA02001,沙拉酱,15.0,g
香辣鸡腿堡,SE05002,辣味粉,10.0,g
香辣鸡腿堡,PA99017,五合一汉堡纸,1.0,pc
香辣鸡腿堡,DR02001,起酥油,10.0,g
香辣鸡腿堡,PA99023,手套,1.0,pc
香辣鸡腿堡,FR01001,无骨方腿腿肉汉堡用,1.0,pc
香辣鸡腿堡,DR02002,炸鸡炸粉,10.0,g
香辣鸡腿堡,SA01008,甜辣酱（大包）,10.0,g
香辣鸡腿堡,DR01001,汉堡面包,1.0,pc
香辣鸡腿堡,SA01009,番茄酱（大包）,10.0,g
香辣鸡腿堡,MK01019,生菜,15.0,g
香辣鸡腿堡,PA99016,托盘纸,1.0,pc
薯条,PA99006,中薯盒,1.0,pc
薯条,FR02001,薯条细款7mm,150.0,g
薯条,DR02001,起酥油,10.0,g
薯条,SA01008,甜辣酱（大包）,10.0,g
薯条,SA01009,番茄酱（大包）,10.0,g
薯条,DR06002,盐,1.0,g
薯条,PA99018,打包袋 (小号),1.0,pc
薯条,SA01013,番茄酱（小包）,1.0,pc
薯条,SA01010,辣椒酱（小包）,1.0,pc
薯条,PA99005,外卖筒形薯盒,1.0,pc
薯条,PA99016,托盘纸,1.0,pc
百事（无糖）,PA99001,16A 冷杯,1.0,pc
百事（无糖）,BE01001,百事零度,25.0,g
百事（无糖）,PA99024,PLA尖头吸管,1.0,pc
鸡米花,CK02004,肉丁（原味米花）,12.0,pc
鸡米花,PA99003,鸡米花盒,1.0,pc
鸡米花,DR02001,起酥油,10.0,g
鸡米花,SA01008,甜辣酱（大包）,10.0,g
鸡米花,PA99016,托盘纸,1.0,pc
鸡米花,SA01009,番茄酱（大包）,10.0,g
鸡米花,PA99018,打包袋 (小号),1.0,pc
鸡米花,SA01013,番茄酱（小包）,1.0,pc
鸡米花,PA99023,手套,1.0,pc
鸡米花饭,CK02004,肉丁（原味米花）,12.0,pc
鸡米花饭,MK01020,黄瓜片,20.0,g
鸡米花饭,PA01006,酱料盒（堂食）,1.0,pc
鸡米花饭,PA99006,中薯盒,1.0,pc
鸡米花饭,PA02001,塑料叉勺 100pcs*20pack,1.0,pc
鸡米花饭,FR02001,薯条细款7mm,150.0,g
鸡米花饭,DR02001,起酥油,10.0,g
鸡米花饭,PA99001,16A 冷杯,1.0,pc
鸡米花饭,BE01004,百事可乐原味,25.0,g
鸡米花饭,SA01008,甜辣酱（大包）,10.0,g
鸡米花饭,DR01002,香米,150.0,g
鸡米花饭,MK01016,香辣蘸料,40.0,g
鸡米花饭,PA01002,塑料碗盒（方盒）,1.0,pc
鸡米花饭,PA99024,PLA尖头吸管,1.0,pc
鸡米花饭,PA99027,哑光塑料封口膜,1.0,pc
鸡米花饭,PA99016,托盘纸,1.0,pc
鸡米花饭,SA01009,番茄酱（大包）,10.0,g
鸡米花饭,PA99023,手套,1.0,pc
鸡米花饭,PA99003,鸡米花盒,1.0,pc
鸡米花饭,PA99018,打包袋 (小号),1.0,pc
鸡米花饭,SA01013,番茄酱（小包）,1.0,pc
荔枝粉汁,BE02005,荔枝味饮料粉,12.0,g
荔枝粉汁,PA99020,单杯袋,1.0,pc
荔枝粉汁,PA99015,500PP杯（U型）,1.0,pc
荔枝粉汁,PA99024,PLA尖头吸管,1.0,pc
荔枝粉汁,PA99027,哑光塑料封口膜,1.0,pc
脆皮手枪腿饭,PA99019,打包袋 (大号),1.0,pc
脆皮手枪腿饭,PA99025,一次性餐包,1.0,pc
脆皮手枪腿饭,MK01020,黄瓜片,20.0,g
脆皮手枪腿饭,PA01006,酱料盒（堂食）,1.0,pc
脆皮手枪腿饭,SE05002,辣味粉,10.0,g
脆皮手枪腿饭,PA02001,塑料叉勺 100pcs*20pack,1.0,pc
脆皮手枪腿饭,SA01003,甜辣酱（小包）,1.0,pc
脆皮手枪腿饭,FR02001,薯条细款7mm,150.0,g
脆皮手枪腿饭,DR02001,起酥油,10.0,g
脆皮手枪腿饭,PA99001,16A 冷杯,1.0,pc
脆皮手枪腿饭,PA99023,手套,1.0,pc
脆皮手枪腿饭,BE01004,百事可乐原味,25.0,g
脆皮手枪腿饭,DR01002,香米,150.0,g
脆皮手枪腿饭,MK01016,香辣蘸料,40.0,g
脆皮手枪腿饭,SA01004,番茄酱 （小包）,1.0,pc
脆皮手枪腿饭,DR02002,炸鸡炸粉,10.0,g
脆皮手枪腿饭,PA01002,塑料碗盒（方盒）,1.0,pc
脆皮手枪腿饭,PA99024,PLA尖头吸管,1.0,pc
脆皮手枪腿饭,PA99027,哑光塑料封口膜,1.0,pc
脆皮手枪腿饭,PA99005,外卖筒形薯盒,1.0,pc
脆皮手枪腿饭,FR01002,手枪腿,1.0,pc
脆皮手枪腿饭,PA99016,托盘纸,1.0,pc
香脆全鸡,PA99019,打包袋 (大号),1.0,pc
香脆全鸡,PA99025,一次性餐包,1.0,pc
香脆全鸡,PA99034,食安封签,1.0,pc
香脆全鸡,PA99017,五合一汉堡纸,1.0,pc
香脆全鸡,PA99009,8号方底袋,1.0,pc
香脆全鸡,DR02001,起酥油,10.0,g
香脆全鸡,SE01001,腌泡粉,10.0,g
香脆全鸡,SA01013,番茄酱（小包）,1.0,pc
香脆全鸡,DR02002,炸鸡炸粉,10.0,g
香脆全鸡,CK01001,整鸡,1.0,pc
香脆全鸡,SA01010,辣椒酱（小包）,1.0,pc
香脆全鸡,PA99023,手套,1.0,pc
香脆全鸡,SA01003,甜辣酱（小包）,1.0,pc
香脆全鸡,SA01004,番茄酱 （小包）,1.0,pc
米饭,PA01001,米饭打包碗（圆形）,1.0,pc
米饭,DR01002,香米,150.0,g
泰式奶茶,BE02001,泰式奶茶粉,12.0,g
泰式奶茶,PA99001,16A 冷杯,1.0,pc
泰式奶茶,PA99024,PLA尖头吸管,1.0,pc
泰式奶茶,PA99015,500PP杯（U型）,1.0,pc
泰式奶茶,PA99020,单杯袋,1.0,pc
泰式奶茶,PA99027,哑光塑料封口膜,1.0,pc
鸡块,PA99008,4#全鸡袋,1.0,pc
鸡块,PA99025,一次性餐包,1.0,pc
鸡块,CK01002,鸡块,5.0,pc
鸡块,PA99014,大薯袋,1.0,pc
鸡块,SA01003,甜辣酱（小包）,1.0,pc
鸡块,DR02001,起酥油,10.0,g
鸡块,PA99012,小号方底袋,1.0,pc
鸡块,PA99018,打包袋 (小号),1.0,pc
鸡块,SA01004,番茄酱 （小包）,1.0,pc
鸡块,PA99023,手套,1.0,pc
烤鸡肉汉堡,PA99019,打包袋 (大号),1.0,pc
烤鸡肉汉堡,SA02001,沙拉酱,15.0,g
烤鸡肉汉堡,PA99025,一次性餐包,1.0,pc
烤鸡肉汉堡,PA99034,食安封签,1.0,pc
烤鸡肉汉堡,SE05002,辣味粉,10.0,g
烤鸡肉汉堡,DR01001,汉堡面包,1.0,pc
烤鸡肉汉堡,PA99017,五合一汉堡纸,1.0,pc
烤鸡肉汉堡,DR02001,起酥油,10.0,g
烤鸡肉汉堡,FR01001,无骨方腿腿肉汉堡用,1.0,pc
烤鸡肉汉堡,SA01013,番茄酱（小包）,1.0,pc
烤鸡肉汉堡,MK01019,生菜,15.0,g
烤鸡肉汉堡,SE05001,BBQ酱,15.0,g
烤鸡肉汉堡,PA99008,4#全鸡袋,1.0,pc
烤鸡肉汉堡,PA99023,手套,1.0,pc
烤鸡肉汉堡,PA99018,打包袋 (小号),1.0,pc
烤鸡肉汉堡,SA01003,甜辣酱（小包）,1.0,pc
烤鸡肉汉堡,SA01004,番茄酱 （小包）,1.0,pc
Jumpo 香脆鸡块,DR02001,起酥油,10.0,g
Jumpo 香脆鸡块,SE01001,腌泡粉,10.0,g
Jumpo 香脆鸡块,PA99018,打包袋 (小号),1.0,pc
Jumpo 香脆鸡块,SA01013,番茄酱（小包）,1.0,pc
Jumpo 香脆鸡块,DR02002,炸鸡炸粉,10.0,g
Jumpo 香脆鸡块,SA01010,辣椒酱（小包）,1.0,pc
Jumpo 香脆鸡块,PA99013,小纸袋,1.0,pc
Jumpo 香脆鸡块,FR01002,手枪腿,1.0,pc
Jumpo 香脆鸡块,PA99008,4#全鸡袋,1.0,pc
Jumpo 香脆鸡块,PA99025,一次性餐包,1.0,pc
Jumpo 香脆鸡块,PA99014,大薯袋,1.0,pc
Jumpo 香脆鸡块,SA01003,甜辣酱（小包）,1.0,pc
Jumpo 香脆鸡块,SA01004,番茄酱 （小包）,1.0,pc
Jumpo 香脆鸡块,CK01002,鸡块,5.0,pc
香脆鸡腿,PA99008,4#全鸡袋,1.0,pc
香脆鸡腿,SE05002,辣味粉,10.0,g
香脆鸡腿,FR01003,鸡腿,1.0,pc
香脆鸡腿,SA01003,甜辣酱（小包）,1.0,pc
香脆鸡腿,DR02001,起酥油,10.0,g
香脆鸡腿,PA99020,单杯袋,1.0,pc
香脆鸡腿,PA99023,手套,1.0,pc
香脆鸡腿,PA99018,打包袋 (小号),1.0,pc
香脆鸡腿,SA01004,番茄酱 （小包）,1.0,pc
香脆鸡腿,DR02002,炸鸡炸粉,10.0,g
香脆鸡腿,PA99013,小纸袋,1.0,pc
甜玉米,PA99025,一次性餐包,1.0,pc
甜玉米,PA99012,小号方底袋,1.0,pc
甜玉米,PA99026,木勺,1.0,pc
甜玉米,PA01007,玉米杯,1.0,pc
甜玉米,PA99018,打包袋 (小号),1.0,pc
甜玉米,MK01003,玉米粒,120.0,g
甜玉米,PA01008,玉米杯盖,1.0,pc
迷你香肠,PA99008,4#全鸡袋,1.0,pc
迷你香肠,PA99025,一次性餐包,1.0,pc
迷你香肠,PA99003,鸡米花盒,1.0,pc
迷你香肠,SA01003,甜辣酱（小包）,1.0,pc
迷你香肠,DR02001,起酥油,10.0,g
迷你香肠,PA99012,小号方底袋,1.0,pc
迷你香肠,CK01003,肉好多烤肠（鸡肉）,8.0,pc
迷你香肠,PA99018,打包袋 (小号),1.0,pc
迷你香肠,SA01004,番茄酱 （小包）,1.0,pc
柠檬冬瓜茶,PA99001,16A 冷杯,1.0,pc
柠檬冬瓜茶,BE02004,南瓜味饮料粉,12.0,g
柠檬冬瓜茶,PA99024,PLA尖头吸管,1.0,pc
柠檬冬瓜茶,PA99027,哑光塑料封口膜,1.0,pc
柠檬冬瓜茶,PA99020,单杯袋,1.0,pc
柠檬冬瓜茶,PA99015,500PP杯（U型）,1.0,pc
炸鸡饭1,CK02004,肉丁（原味米花）,12.0,pc
炸鸡饭1,MK01020,黄瓜片,20.0,g
炸鸡饭1,PA01006,酱料盒（堂食）,1.0,pc
炸鸡饭1,PA02001,塑料叉勺 100pcs*20pack,1.0,pc
炸鸡饭1,SA01003,甜辣酱（小包）,1.0,pc
炸鸡饭1,FR02001,薯条细款7mm,150.0,g
炸鸡饭1,DR02001,起酥油,10.0,g
炸鸡饭1,PA99020,单杯袋,1.0,pc
炸鸡饭1,PA99001,16A 冷杯,1.0,pc
炸鸡饭1,BE01004,百事可乐原味,25.0,g
炸鸡饭1,DR01002,香米,150.0,g
炸鸡饭1,PA99018,打包袋 (小号),1.0,pc
炸鸡饭1,MK01016,香辣蘸料,40.0,g
炸鸡饭1,SA01004,番茄酱 （小包）,1.0,pc
炸鸡饭1,PA01002,塑料碗盒（方盒）,1.0,pc
炸鸡饭1,PA99024,PLA尖头吸管,1.0,pc
炸鸡饭1,PA99027,哑光塑料封口膜,1.0,pc
炸鸡饭1,PA99005,外卖筒形薯盒,1.0,pc
炸鸡饭1,PA99023,手套,1.0,pc
无糖百事可乐,PA99020,单杯袋,1.0,pc
无糖百事可乐,PA99001,16A 冷杯,1.0,pc
无糖百事可乐,BE01001,百事零度,25.0,g
无糖百事可乐,PA99024,PLA尖头吸管,1.0,pc
无糖百事可乐,PA99027,哑光塑料封口膜,1.0,pc
烤全鸡,PA99008,4#全鸡袋,1.0,pc
烤全鸡,PA99019,打包袋 (大号),1.0,pc
烤全鸡,PA99025,一次性餐包,1.0,pc
烤全鸡,PA99034,食安封签,1.0,pc
烤全鸡,PA99017,五合一汉堡纸,1.0,pc
烤全鸡,DR02001,起酥油,10.0,g
烤全鸡,SE01001,腌泡粉,10.0,g
烤全鸡,PA99007,铝箔全鸡袋,1.0,pc
烤全鸡,SA01013,番茄酱（小包）,1.0,pc
烤全鸡,CK01001,整鸡,1.0,pc
烤全鸡,SA01010,辣椒酱（小包）,1.0,pc
烤全鸡,SE05001,BBQ酱,15.0,g
烤全鸡,SA01003,甜辣酱（小包）,1.0,pc
烤全鸡,SA01004,番茄酱 （小包）,1.0,pc
烤全鸡,PA99021,腌制袋,1.0,pc
烤全鸡（半只）,PA99019,打包袋 (大号),1.0,pc
烤全鸡（半只）,PA99025,一次性餐包,1.0,pc
烤全鸡（半只）,SA01003,甜辣酱（小包）,1.0,pc
烤全鸡（半只）,DR02001,起酥油,10.0,g
烤全鸡（半只）,SE01001,腌泡粉,10.0,g
烤全鸡（半只）,PA99007,铝箔全鸡袋,1.0,pc
烤全鸡（半只）,SA01004,番茄酱 （小包）,1.0,pc
烤全鸡（半只）,PA99021,腌制袋,1.0,pc
烤全鸡（半只）,CK01001,整鸡,0.5,pc
烤全鸡（半只）,SE05001,BBQ酱,15.0,g
香脆鸡翅,PA99008,4#全鸡袋,1.0,pc
香脆鸡翅,PA99025,一次性餐包,1.0,pc
